"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400000","37190000","3210000","8045000","3520000","18080000","22791214.4548463","25591178","184166845.259631","207369058.141488","182059933.214311","238832730.679451","223597466.863586","180494515.859856","227429876.335838","300394193.48562","314788691.745455","355297861.233836","390589978.814492","363788468.805367","358015507.114938","367496443.764591","341256855.400442","362693785.059856","304558693.787094",
"American Samoa","ASM","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","11148148.54","10925926.21","4314815.044","9474074.364","6311111.11111111","7867901.325","9424691.2","10981481.4814815","8396296.2962963","7859259.25925926","2051851.85185185","1111111.11111111","1085185.18518518","1581851.85185185","1558148.14814815","1564444.44444444","1411481.48148148","1489292.59259259","1566737.03703704","1670140.74074074","1837154.81481482","2131100.37037037","2367652.22222222","2122362.96296296","2066960","2047116.2962963","2157660.74074074","2222448.14814815","52088361.5547778","52822644.38","54742927.4962963","55445390.1111111","56851001.1710534","","",
"Australia","AUS","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","66080009.46","83962074.28","122832298.3","193900329.6","213557098.4","222246444.7","211665603.6","208692459.1","247260421.8","273925994.9","303632507.3","365259887.7","365698913.6","381575408.9","403232727.1","311754455.6","291884246.8","340696655.3","428584075.9","555251220.7","601367466.962332","522617128.63364","457806049.587982","441562934.039845","487695522.157596","570167764.18997","728177753.776965","771092538.014612","796700672.873205","870854803.38831","868990623.794047","855078367.421529","991488492.414696","1380807137.81441","1608966509.53885","1531079216.44992","2051227219.45335","2980870874.07376","3366427026.74913","3224401181.6775","4655461396.62226","6597638171.47406","7084418881.54625","6966095311.13184","6767306885.35752","6037610106.7282","6179374297.70856","6793253706.78176","7267729293.55882","7439097688.91598","4302423957.18839",
"Austria","AUT","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","24692306.52","46596698.76","98605583.19","181810546.9","271194152.8","243576324.5","232826538.1","239277359","187292373.7","231978363","334470336.9","285688446","265836181.6","214980117.8","194567581.2","189676162.7","224538681","228747100.8","251341339.1","302310730","319779052.7","415871521","206126342.8","288913970.9","292412139.9","345817108.2","346233947.8","342774261.5","932067504.9","1370329468","1298060059","1421891113","1517669556","1874189575","2227846924","2118672481.03347","2302162764.5374","2592071465.95301","2984770130.75055","2909179496.78336","2989978304.90621","3622755852.38095","3450702386.15695","3895700778.52154","4962526962.17431","4750215267.75258","4885123590.7735","5369093592.33249","5924780884.47803","5873948213.82577","5877856118.05929",
"Azerbaijan","AZE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9310000","14861000","19039000","30272000","77030000","100962000","141882000","187881000","131284000","172305000","239397000","274348000","404535000","567345000","638101000","953589000","1279630000","2072681000","1902602000","2031324000","1293019000","740236000","603318000","579500000","621549000","731878000",
"Burundi","BDI","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","8542493.82","6998269.558","8797072.411","5940382.481","5376050.472","5313700.53988559","4363333.85518268","6821804.16957375","5997199.11030563","3930143.96675407","4496361.47062651","4508720.16207169","2332902.10278108","2158494.30226737","2087967.17311745","2463668.23618653","2355623.71038835","2825143.54476098","3267998.00484011","330638.568444","193606.158167478","206185.857041694","225443.049144692","241799.963312528","1114227.94105194","4957959.18201529","6163321.19200048","5235126.8994185","6978499.11232411","14846058.0251117","21041437.1582556","19085453.3147457","15722808.1235125","19331789.2465233","","",
"Belgium","BEL","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","580808349.6","663999267.6","713931457.5","987577941.9","1130499146","1280031494","1187483032","994580749.5","892699218.8","793433410.6","779245666.5","986456298.8","1276381836","1380126343","1508718384","2309630859","2432428223","2896886230","3029477295","3659792236","3251686279","3418260742","3125033203","3347351807","3653230957","3587770752","3905530518","1628741741.3897","2097327653.91901","2342483500.50505","2426083650.54625","2564697223.16673","3201618745.39469","4123817770.53244","4291702746.26146","4142285273.16017","4504366770.99567","4303018197.8443","4548072301.03076","5251309838.20849","4441158754.04113","4564818715.74938","4747435274.46295","5612494418.47986","5319215056.22296","6403963112.80814",
"Benin","BEN","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","2687941.313","2664328.575","1330819.607","1208891.153","1511150.599","1842783.809","2120413.303","1898933.649","23773132.32","22295349.12","28693920.14","11129339.22","2887620.449","3327382.088","15516963.96","15151329.99","20687581.5353086","20727602.9668692","21149125.0734851","21458697.0168479","23251784.613878","26484507.0404244","33615322.6578149","17064455.446481","29877018.3595546","5934716.82879594","8901617.84217862","10267645.6646459","6648280.33234005","5247479.74841846","5637750.0160204","33541431.0189938","60845024.6030295","107687774.618297","74614342.8442147","70228496.4253565","63440509.3118402","61631882.6515209","87741932.9189547","101062518.757725","144363284.729364","98216933.4574093","88136694.4092243","72946194.1673186","94458843.3443284","87497446.5369515","",
"Burkina Faso","BFA","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","13680665.02","31015398.03","30261497.5","40516170.5","34348766.33","39394203.19","51931194.31","45419841.77","35510585.78","39783130.65","35529838.56","40757865.91","49268581.39","58355628.97","56955184.94","56073776.25","80855110.17","70661155.7","70100395.2","61805484.77","50952377.32","49878166.2","48803951.26","47729740.14","46655525.21","45581314.09","44507102.97","44031791.69","50096973.42","77183372.5","79165634.16","83860215.6593625","86153890.3437805","93321883.2601027","100015685.775945","99707964.5869509","111897013.015589","42037257.8695118","71420129.8732234","148953261.85146","160554578.541688","180767735.761453","188062679.743843","198931795.905219","208745502.373646","196545204.663271","",
